peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
54.5,1.74,V,53,120,12,0,3,0,7,N,0,2,2
82.36,1.7,V,62,0,8,0,5,0,0,N,2,3,4
101.03,1.82,V,27,0,10,2,6,6,0,N,0,0,0
71.2,1.63,M,35,0,4,2,6,3,0,N,0,0,0
76.58,1.7,V,31,0,11,0,9,0,0,N,0,0,0
58.32,1.8,V,65,90,0,2,6,6,0,N,2,4,4
82.54,1.69,V,44,0,9,3,3,0,0,N,1,3,4
43.8,1.56,M,61,60,10,0,14,5,0,N,1,3,2
77.32,1.65,M,61,0,0,0,8,2,0,S,2,4,4
84.97,1.7,V,59,0,3,0,3,5,0,N,0,1,2
76.25,1.63,M,44,0,3,1,0,0,0,N,2,4,4
46.66,1.61,M,22,30,8,0,7,15,0,N,1,1,2
60.94,1.84,V,18,10,18,3,4,6,1,N,0,1,1
79.2,1.67,M,49,0,6,3,0,0,0,N,1,1,1
93.25,1.74,V,43,0,25,0,24,15,0,N,1,2,1
79.59,1.68,M,42,0,2,0,7,1,0,N,3,4,4
54.5,1.74,V,34,80,4,2,5,8,0,N,2,3,2
77.52,1.73,V,30,0,0,0,4,0,3,N,1,3,4
52.63,1.71,M,43,80,0,0,10,13,0,N,2,3,4
50.2,1.67,M,60,100,3,2,1,0,0,N,1,2,2
86.54,1.69,M,51,0,5,0,11,10,0,N,1,2,1
51.41,1.69,M,62,30,11,0,22,19,0,N,1,3,3
45.51,1.59,M,45,60,0,3,1,0,0,N,2,3,2
80.51,1.73,V,56,0,0,1,13,0,0,N,2,3,1
88.89,1.73,V,46,0,0,2,4,4,0,N,2,3,3
77.16,1.62,M,42,0,0,0,0,0,0,N,2,3,4
78.73,1.62,M,70,0,5,3,0,0,0,N,2,2,2
53.25,1.72,V,60,90,16,0,12,7,0,N,1,4,4
88.89,1.73,V,44,0,24,0,16,6,0,N,0,1,4
80.81,1.73,V,37,0,10,1,12,7,8,N,1,2,0
93.15,1.78,V,21,0,0,1,10,10,0,N,2,4,4
57.03,1.78,V,39,100,0,5,0,0,0,N,0,1,2
86.5,1.78,V,35,0,4,1,10,0,0,N,1,3,2
80.05,1.7,M,31,0,2,6,3,5,0,N,1,2,1
87.86,1.72,M,21,0,0,0,3,0,0,N,3,3,3
105.67,1.82,V,39,0,0,0,0,11,0,N,2,2,1
82.39,1.66,M,39,0,0,0,4,3,0,N,2,1,1
76.73,1.61,M,59,0,0,7,0,9,0,N,1,2,1
57.03,1.78,V,28,130,0,0,8,4,0,N,2,3,2
49,1.65,M,20,70,4,1,8,10,0,N,0,2,1
80.31,1.65,V,18,0,22,2,0,0,0,N,1,3,3
51.41,1.69,V,37,60,0,6,0,7,0,N,3,4,4
83.67,1.67,M,35,0,10,0,24,15,0,N,1,2,2
90.04,1.75,V,48,0,1,1,1,0,3,N,2,3,3
73.6,1.63,M,29,0,8,1,9,2,0,N,0,0,0
81.29,1.71,V,55,0,4,2,5,3,0,N,1,2,4
72,1.63,M,40,0,6,0,5,0,0,N,1,2,2
87.35,1.66,V,48,0,21,3,5,7,0,S,2,1,1
55.76,1.76,M,24,50,1,10,0,3,5,N,2,2,3
104.65,1.8,V,78,0,16,0,19,14,0,S,0,3,4
101.03,1.82,V,53,0,5,3,0,0,0,N,2,3,2
89.48,1.71,M,50,0,0,0,0,0,0,S,2,2,4
97.17,1.84,V,46,0,0,3,0,4,0,N,2,2,1
95.07,1.74,V,36,0,4,7,0,12,0,N,1,1,1
73.87,1.61,M,65,0,4,0,0,0,0,N,1,1,1
73.78,1.65,V,44,0,0,2,0,0,0,N,0,3,3
83.67,1.67,M,73,0,0,0,7,1,0,N,3,4,3
77.43,1.66,V,26,0,3,2,9,6,0,N,2,1,0
43.25,1.55,M,39,40,10,0,0,1,NA,S,1,2,2
54.5,1.74,V,58,20,0,0,6,2,0,N,0,2,2
54.5,1.74,V,43,40,1,2,0,0,5,N,2,2,4
64.82,1.64,M,48,0,0,4,6,4,0,N,0,3,4
47.24,1.62,V,37,40,0,1,10,0,0,N,2,4,4
52.63,1.71,V,27,40,4,2,5,4,0,N,2,3,2
103.61,1.78,V,41,0,9,5,0,10,0,N,1,2,2
91.13,1.74,V,19,0,0,2,0,13,0,N,1,3,4
55.12,1.75,M,50,40,0,2,10,0,0,N,2,1,1
52.15,1.67,V,36,10,3,2,9,9,0,N,3,3,4
91.76,1.66,M,30,0,20,0,3,8,0,N,3,4,4
91.58,1.73,V,47,0,1,0,5,7,0,N,1,2,2
55.76,1.76,V,18,200,0,0,29,20,10,N,1,2,2
108.86,1.8,V,43,0,11,1,3,8,0,S,2,3,3
53.25,1.72,V,29,140,7,5,6,0,4,N,3,3,3
84.87,1.66,V,36,0,11,0,3,6,0,N,2,2,3
46.09,1.57,M,37,10,0,1,0,0,0,N,2,3,3
66.65,1.67,M,45,0,0,7,0,0,0,N,0,3,3
88.4,1.78,V,23,0,0,1,0,0,0,N,1,2,2
86.83,1.69,M,58,0,0,1,0,5,1,N,1,2,2
107.16,1.83,V,56,0,14,0,17,15,0,N,0,1,1
96.44,1.79,V,18,0,17,0,14,2,0,N,1,2,2
87.72,1.77,V,55,0,4,3,0,5,3,N,0,1,2
107.45,1.73,M,69,0,22,7,1,10,0,N,2,1,1
71.91,1.62,M,38,0,2,7,0,0,0,N,1,2,0
85.68,1.74,M,56,0,0,0,0,5,0,N,2,3,4
76.05,1.66,M,49,0,0,0,8,7,2,N,1,1,2
44.94,1.58,M,44,40,0,2,0,3,0,N,0,0,1
91.79,1.77,V,29,0,13,0,0,0,0,N,2,2,3
78.47,1.62,M,42,0,16,1,0,0,0,N,1,1,0
73.66,1.68,V,42,0,0,7,0,0,0,N,0,1,2
90.39,1.73,V,48,0,26,2,10,6,2,N,1,2,2
74.32,1.65,M,40,0,0,0,1,0,1,N,2,3,2
55.76,1.76,V,58,50,1,1,0,2,0,N,1,1,0
66.96,1.66,M,18,0,8,4,10,0,0,N,2,3,4
69.15,1.65,M,62,0,17,5,19,1,4,N,0,2,1
53.25,1.72,V,38,50,1,0,11,1,6,N,1,1,0
82.99,1.79,V,47,0,5,1,20,3,0,N,1,2,3
64.3,1.62,M,28,0,5,3,10,5,0,N,1,3,4
93.7,1.81,V,64,0,0,5,0,0,0,N,1,2,2
91.21,1.66,M,76,0,7,0,13,7,0,N,4,4,4
47.24,1.62,M,18,50,0,1,0,3,0,N,0,1,1
88.75,1.72,M,26,0,0,0,0,5,0,N,1,1,2
78.65,1.67,V,26,0,6,2,0,0,0,N,2,3,3
74.23,1.64,M,47,0,3,7,19,14,0,N,1,1,2
77.32,1.63,M,25,0,15,3,4,0,0,N,0,0,0
75.86,1.67,M,38,0,0,5,0,0,0,N,2,3,4
93.24,1.79,V,30,0,0,3,7,13,0,N,0,3,4
92.48,1.7,V,59,0,4,0,0,8,0,N,0,0,0
103.84,1.72,V,60,0,0,2,0,15,0,N,1,1,2
46.08,1.6,M,54,220,6,2,0,0,0,N,1,4,3
94.61,1.8,V,44,0,0,0,22,13,0,N,2,3,4
85.24,1.68,M,18,0,21,1,0,0,0,N,3,3,4
49.6,1.66,M,41,110,10,0,10,3,0,N,0,2,2
98.5,1.76,V,45,0,15,0,17,12,0,N,2,2,3
57.67,1.79,V,73,20,0,0,3,1,0,N,2,2,1
77.31,1.6,M,42,0,1,0,0,6,0,N,1,1,2
49.6,1.66,M,42,20,2,2,9,8,0,N,0,0,0
82.84,1.64,M,66,0,9,0,0,0,0,N,1,2,2
55.12,1.75,M,68,60,15,4,14,7,NA,S,0,3,3
85,1.73,V,65,0,8,1,17,1,0,N,1,0,0
73.43,1.64,M,18,0,0,0,21,8,0,N,1,1,1
58.97,1.81,V,42,60,9,3,0,0,13,N,2,2,2
54.5,1.74,V,18,20,5,0,4,14,0,N,0,0,0
51.41,1.69,M,20,40,15,0,0,0,2,N,2,3,0
58.97,1.81,V,25,10,0,0,6,0,1,N,1,3,2
56.39,1.77,V,34,30,0,0,13,1,0,N,1,2,0
69.52,1.59,M,29,0,0,2,0,1,0,N,2,4,4
78.11,1.63,M,34,0,0,2,1,3,0,N,1,1,0
81.36,1.72,V,27,0,0,1,5,0,0,N,4,4,3
74.01,1.62,M,49,0,10,1,2,0,0,N,0,0,2
84.21,1.71,M,40,0,7,3,11,7,0,N,1,1,1
86.51,1.79,V,45,0,0,2,0,0,0,N,0,0,0
84.83,1.75,M,53,0,0,0,9,0,0,N,3,4,4
80.57,1.62,M,43,0,12,1,0,0,0,N,1,3,2
78.72,1.74,V,19,0,0,0,5,2,0,N,1,2,2
84.17,1.74,V,20,0,6,0,24,20,0,N,1,3,4
73.98,1.7,V,43,0,0,1,0,0,0,N,0,1,1
51.41,1.69,V,54,10,8,0,16,6,0,N,1,2,2
75.23,1.66,M,58,0,0,0,0,0,0,N,2,4,4
89.31,1.74,V,46,0,10,3,0,0,0,N,2,3,3
55.76,1.76,V,24,90,8,1,7,11,0,N,2,3,2
53.25,1.72,M,20,220,4,0,8,0,0,N,1,1,3
73.12,1.69,V,27,0,0,0,11,0,0,N,0,0,0
91.25,1.78,V,47,0,3,4,0,0,0,N,3,4,2
53.87,1.73,V,18,190,0,4,3,0,0,N,0,1,2
78.21,1.62,M,51,0,0,0,0,5,0,N,0,1,0
73.38,1.68,M,29,0,10,7,0,0,5,N,2,2,3
82.75,1.71,V,34,0,0,1,0,0,0,N,3,4,4
53.87,1.73,V,44,50,0,2,1,1,0,N,2,4,4
75.86,1.67,V,47,0,0,1,0,0,0,N,1,2,2
88.14,1.7,V,57,0,0,5,2,4,0,N,1,2,3
86.59,1.74,V,66,0,4,0,9,1,0,N,1,1,1
88.2,1.75,V,51,0,2,0,0,0,0,N,1,4,4
50.2,1.67,M,22,180,0,3,11,0,0,N,0,1,2
67.75,1.59,M,31,0,0,0,11,0,0,N,2,4,4
51.41,1.69,V,45,40,9,0,2,0,0,N,1,3,4
91.96,1.79,V,67,0,5,2,5,0,0,N,0,2,2
49.6,1.66,M,42,70,0,3,15,4,0,N,2,4,4
53.87,1.73,V,67,120,0,0,0,8,0,N,1,2,1
77.46,1.64,M,53,0,0,1,0,0,0,N,0,0,0
79.06,1.61,M,36,0,1,0,0,2,0,N,1,2,2
107.19,1.75,V,39,0,0,0,5,20,0,N,1,2,2
74.82,1.73,M,28,0,0,4,16,3,0,N,0,1,3
60.94,1.84,V,32,80,0,0,0,3,1,N,1,2,1
52.63,1.71,V,39,40,0,2,0,0,0,S,2,4,4
64.28,1.61,M,21,0,0,5,7,2,0,N,1,2,2
53.87,1.73,V,21,50,16,0,0,11,0,N,1,0,0
70.91,1.6,M,32,0,0,2,0,0,0,N,1,2,3
57.03,1.78,V,32,20,0,3,29,15,0,N,1,1,0
92.02,1.8,V,68,0,0,4,0,0,0,N,2,4,4
55.12,1.75,V,35,20,11,0,12,8,0,N,1,0,1
82.75,1.71,M,40,0,0,1,0,0,0,N,1,2,1
52.02,1.7,M,18,80,0,0,0,0,3,N,2,3,3
59.62,1.82,V,45,50,0,8,0,0,0,N,2,0,0
48.41,1.64,M,46,70,0,5,9,2,0,N,1,2,3
52.63,1.71,M,36,40,12,3,11,5,4,N,2,2,2
91,1.79,V,43,0,0,4,14,12,0,S,0,2,3
116.09,1.89,V,51,0,6,0,10,14,0,N,1,3,4
80.88,1.67,M,37,0,15,3,0,4,0,N,2,2,3
57.12,1.63,M,18,0,0,4,13,1,2,N,1,3,4
72.56,1.59,M,57,0,10,2,19,9,0,S,2,3,2
90.62,1.78,V,50,0,0,1,12,4,0,N,2,3,2
57.03,1.78,V,18,160,7,0,6,6,0,N,2,3,4
94.58,1.73,V,39,0,9,3,0,4,0,N,2,3,3
81.29,1.71,M,23,0,20,0,6,0,0,N,1,0,1
57.67,1.79,V,47,90,2,2,15,1,0,N,1,2,0
60.46,1.77,V,53,10,0,0,11,6,0,N,2,2,2
88.13,1.67,M,54,0,3,0,17,12,0,N,2,4,4
77.21,1.72,M,51,0,0,0,1,0,0,S,0,1,1
83.72,1.83,V,18,0,0,2,8,0,0,N,2,4,4
80.6,1.67,M,34,0,0,0,8,8,0,N,1,2,4
75.85,1.64,M,20,0,0,2,1,7,0,N,0,1,0
75.92,1.68,V,35,0,0,0,0,0,0,N,1,2,2
89.83,1.76,V,53,0,0,0,0,3,0,N,1,1,2
50.8,1.68,M,36,60,7,5,0,1,0,N,1,2,3
86.3,1.65,M,49,0,10,0,4,11,0,N,1,4,3
54.5,1.74,V,61,40,0,0,14,5,0,N,2,4,4
52.63,1.71,M,23,10,1,1,14,10,0,N,0,0,0
85.25,1.7,M,55,0,0,2,20,13,0,N,3,4,4
99.63,1.77,V,65,0,13,0,9,2,0,N,3,4,3
48.41,1.64,V,38,30,0,0,4,0,0,N,1,1,0
97.63,1.81,V,35,0,11,3,4,3,0,N,1,1,2
92.28,1.79,V,44,0,6,3,0,0,0,N,1,2,2
70.56,1.67,M,19,0,0,6,0,0,0,N,2,2,2
84.53,1.75,M,56,0,0,3,1,0,0,N,0,0,0
86.88,1.63,M,47,0,16,0,5,12,0,N,2,4,3
52.02,1.7,V,27,50,5,0,13,11,0,N,1,3,3
59.62,1.82,V,32,180,0,0,10,9,0,N,1,3,2
87.18,1.86,V,24,0,2,3,21,7,0,N,1,2,1
82.22,1.65,M,53,0,0,0,11,15,5,N,1,4,4
70.6,1.62,M,38,0,22,6,0,0,3,N,0,1,2
57.67,1.79,V,57,60,0,2,0,0,0,N,1,2,1
100.59,1.72,V,49,0,7,0,0,9,1,N,1,1,1
79.87,1.68,M,18,0,0,3,5,3,1,N,1,2,3
90.34,1.75,V,45,0,10,0,0,5,0,N,1,2,2
47.24,1.62,M,20,10,7,7,0,6,1,N,1,1,1
51.41,1.69,M,59,10,4,0,7,2,0,N,1,1,2
79.77,1.65,M,22,0,12,0,17,8,0,N,1,3,2
88.2,1.75,V,53,0,0,4,23,10,0,N,1,2,0
82.13,1.68,V,52,0,8,0,0,0,0,N,0,1,2
56.39,1.77,V,21,70,5,4,1,0,0,N,1,2,3
44.94,1.58,M,42,140,0,0,0,6,0,N,0,1,2
94.93,1.8,V,33,0,0,1,0,1,0,N,1,0,0
51.41,1.69,V,46,130,11,6,0,0,0,N,1,2,2
84.87,1.66,M,49,0,24,4,0,1,0,N,1,2,1
53.87,1.73,V,39,30,15,0,0,5,0,N,1,2,1
94.61,1.77,V,74,0,17,1,16,6,0,N,0,0,0
70.33,1.56,M,43,0,8,1,6,8,1,N,0,2,2
52.89,1.7,V,55,10,0,0,2,0,0,N,2,4,4
96.55,1.8,V,33,0,7,0,5,1,0,N,3,4,4
82.63,1.63,M,73,0,13,1,7,7,0,N,2,3,4
86.49,1.81,V,25,0,4,6,0,0,0,N,2,4,4
84.47,1.74,V,80,0,0,0,2,0,0,N,0,3,3
44.94,1.58,M,50,50,7,1,0,0,0,N,2,3,3
91.79,1.77,V,18,0,0,0,0,6,1,N,2,4,4
55.12,1.75,M,30,50,0,4,9,5,0,N,3,3,3
89.83,1.66,M,29,0,9,2,0,8,0,N,0,1,0
88.69,1.67,M,59,0,5,0,12,11,0,N,2,3,3
52.63,1.71,M,36,60,11,3,23,4,0,N,2,2,4
82.08,1.77,V,46,0,0,3,7,4,7,N,1,3,2
98.09,1.74,M,27,0,11,0,0,8,0,N,2,3,2
80.85,1.75,V,45,0,0,0,16,0,0,N,1,0,0
86.85,1.71,V,48,0,6,4,0,10,0,N,1,2,2
101.57,1.79,V,44,0,0,5,0,11,0,N,1,0,0
92.77,1.84,V,49,0,0,0,0,0,0,N,1,4,4
50.8,1.68,M,59,170,1,7,4,0,5,S,2,4,4
88.25,1.69,M,94,0,8,6,3,2,0,N,1,4,4
49.6,1.66,M,44,30,0,2,8,3,0,N,2,3,3
50.8,1.68,V,56,130,3,0,0,0,0,N,2,4,4
98.5,1.76,V,31,0,12,0,0,0,0,N,2,4,3
81.85,1.68,M,52,0,1,0,5,0,0,N,2,4,4
57.67,1.79,V,31,90,0,0,18,2,0,N,2,3,4
55.12,1.75,V,41,70,0,4,0,2,0,N,1,2,2
75.78,1.66,M,18,0,0,0,0,4,0,N,0,0,1
95.55,1.75,V,29,0,0,0,0,10,0,N,1,2,2
100.61,1.79,V,38,0,6,1,12,14,3,N,2,3,4
49,1.65,M,32,140,12,0,11,9,1,N,2,3,2
77.45,1.7,M,55,0,0,0,13,1,0,N,0,1,0
85.44,1.75,V,30,0,0,1,0,0,0,N,2,4,3
91.61,1.7,M,29,0,12,5,17,12,0,N,3,3,3
51.41,1.69,V,55,50,0,5,0,8,0,S,3,3,3
80.83,1.69,M,24,0,0,2,0,1,0,N,0,0,0
55.12,1.75,V,39,60,0,7,4,0,3,N,1,2,2
75.64,1.75,V,18,0,0,0,13,3,0,N,1,4,4
49,1.65,M,39,80,0,3,3,0,0,S,2,3,3
85.53,1.77,V,38,0,0,1,3,0,0,N,0,1,1
68.28,1.57,M,37,0,0,0,15,10,0,N,0,1,2
98.38,1.82,V,56,0,1,0,4,0,0,N,2,2,2
44.94,1.58,M,39,20,0,0,10,7,0,N,3,4,4
93.38,1.73,V,54,0,6,0,7,6,0,N,1,1,0
97.96,1.81,V,34,0,0,1,0,0,0,N,2,3,2
50.2,1.67,M,40,40,18,8,4,0,0,N,0,1,0
91.52,1.71,V,60,0,0,0,14,9,NA,N,2,3,3
73.7,1.64,M,18,0,0,1,0,0,0,N,0,0,1
85.68,1.69,M,46,0,5,0,0,0,2,N,1,2,3
73.3,1.66,M,39,0,7,4,11,5,0,N,1,3,4
97.12,1.77,V,40,0,18,0,0,0,0,N,3,4,4
100.14,1.75,V,46,0,10,0,13,13,0,N,3,3,4
73.57,1.66,V,52,0,6,3,9,2,0,N,2,4,4
81.79,1.7,V,30,0,0,0,0,4,0,N,1,3,4
83.54,1.68,M,18,0,13,3,17,10,0,N,0,1,0
71.35,1.55,M,56,0,0,6,1,7,0,N,1,2,2
55.76,1.76,V,60,20,0,0,5,0,0,S,0,1,0
74.5,1.64,M,47,0,0,0,17,4,0,N,2,3,2
102.81,1.83,V,26,0,0,0,0,5,0,N,2,4,4
69.44,1.66,M,39,0,2,0,0,0,7,N,2,4,4
49,1.65,M,42,40,12,2,7,3,1,N,1,3,3
50.2,1.67,M,51,120,13,8,0,0,0,N,2,2,3
77.57,1.6,M,56,0,3,0,0,0,0,N,1,1,1
57.67,1.79,V,55,70,0,0,11,11,0,N,2,4,4
81.29,1.66,M,52,0,0,1,0,0,0,N,3,3,4
83.59,1.8,V,42,0,0,2,14,0,0,N,1,2,2
78.21,1.62,M,21,0,7,0,0,0,0,N,3,4,4
52.02,1.7,V,35,40,3,2,0,3,4,N,3,3,2
52.63,1.71,V,38,20,17,0,9,0,0,N,2,2,4
44.37,1.57,M,37,50,0,0,0,0,0,S,1,1,2
73.95,1.57,M,55,0,0,2,11,8,0,N,2,4,4
50.2,1.67,M,29,60,0,7,0,0,0,N,0,0,0
59.62,1.82,V,51,70,4,0,5,1,0,N,1,3,3
69.27,1.59,M,56,0,1,0,9,1,0,N,0,0,1
82.94,1.66,M,70,0,0,4,0,0,0,N,2,2,3
98.46,1.83,V,41,0,0,3,16,14,0,N,1,3,2
75.69,1.69,M,24,0,0,0,0,1,0,N,2,3,4
50.2,1.67,M,40,10,4,0,8,5,0,N,1,4,4
77.74,1.7,M,30,0,0,3,10,4,0,N,3,4,2
53.25,1.72,V,40,120,12,0,10,3,0,N,0,2,3
48.41,1.64,M,59,30,0,0,9,7,0,N,2,2,4
99.01,1.79,V,18,0,0,4,0,8,0,N,1,3,2
58.32,1.8,V,45,20,0,0,23,12,0,N,2,3,2
83.23,1.7,V,42,0,0,3,2,8,0,N,1,2,1
98.79,1.83,V,49,0,13,2,6,4,0,N,2,4,3
64.28,1.61,M,43,0,8,2,9,0,0,N,0,2,0
53.87,1.73,V,60,110,0,2,0,0,6,N,2,3,2
73.38,1.68,V,63,0,0,5,0,0,0,N,1,3,4
49.6,1.66,M,30,70,9,0,0,0,3,N,1,2,2
73.16,1.64,M,41,0,0,1,0,0,0,N,1,2,3
91.48,1.77,V,42,0,1,0,0,3,0,N,1,3,2
76.78,1.63,M,28,0,11,0,0,0,0,N,2,4,4
76.6,1.59,M,33,0,0,0,0,0,0,N,2,2,3
88.08,1.78,V,18,0,0,0,2,3,0,N,2,3,1
94.48,1.76,V,38,0,11,3,2,4,0,N,2,3,3
78.54,1.69,M,30,0,0,0,14,0,0,N,1,1,0
80.04,1.65,M,45,0,8,1,11,6,0,N,0,0,1
74.52,1.73,V,47,0,0,4,14,3,0,N,1,2,2
116.63,1.81,V,67,0,20,0,27,24,0,N,1,1,1
53.87,1.73,M,27,140,17,3,0,8,0,N,2,3,4
102.02,1.82,V,56,0,0,0,2,6,0,N,2,3,2
50.2,1.67,M,34,70,8,0,3,4,6,N,1,4,4
85.08,1.74,V,54,0,0,1,19,14,7,N,1,3,4
83.65,1.77,V,56,0,0,0,0,0,0,N,1,2,4
84.67,1.68,M,38,0,8,3,4,3,0,N,2,4,4
47.24,1.62,V,60,120,0,0,2,3,0,N,3,3,1
52.02,1.7,V,46,130,17,0,9,5,0,N,1,2,3
51.41,1.69,M,43,60,0,3,10,7,0,N,1,1,4
74.91,1.61,M,18,0,0,0,14,9,0,N,1,3,2
80.41,1.71,M,38,0,0,3,0,0,0,N,0,0,0
48.41,1.64,M,35,80,5,6,0,5,0,N,1,3,3
75.12,1.69,V,29,0,0,9,0,3,0,N,1,1,0
99.13,1.83,V,30,0,3,3,16,14,0,N,0,1,0
79.63,1.74,V,44,0,0,0,34,13,0,N,1,0,0
93.64,1.7,M,36,0,15,1,6,11,0,S,1,3,1
85.21,1.65,M,33,0,0,0,0,3,0,S,1,2,1
92.11,1.77,V,42,0,1,0,6,2,0,N,1,2,0
85.53,1.77,V,19,0,0,0,0,0,0,N,1,2,1
75.72,1.63,M,18,0,0,2,2,5,0,N,1,1,2
76.6,1.59,M,38,0,0,0,1,5,0,N,2,4,4
90.4,1.84,V,32,0,1,3,0,3,0,N,0,2,2
50.8,1.68,V,40,90,6,0,3,4,0,N,3,2,3
51.41,1.69,M,18,170,0,0,9,7,5,N,1,2,3
71.54,1.64,M,39,0,0,3,17,9,3,N,1,1,1
78.81,1.66,V,61,0,0,0,2,0,3,N,1,1,1
55.12,1.75,V,18,50,0,0,3,6,0,N,1,2,1
86.3,1.65,M,19,0,9,3,4,6,0,N,4,4,4
89.21,1.76,V,51,0,2,1,23,10,0,N,2,2,3
98.69,1.79,V,30,0,5,0,6,6,0,N,0,1,0
58.32,1.8,V,50,120,12,1,0,0,0,N,0,0,0
88.41,1.83,V,46,0,5,6,12,5,0,N,1,1,1
96.86,1.85,V,26,0,0,0,0,2,0,N,1,4,3
48.41,1.64,M,86,30,21,0,0,0,0,N,1,2,1
71.94,1.6,M,35,0,0,1,15,10,0,N,1,1,1
90.14,1.76,V,50,0,3,3,9,6,0,N,0,0,0
50.2,1.67,M,63,90,4,2,7,7,8,N,1,2,4
79.31,1.73,M,39,0,0,9,0,0,0,N,3,4,4
84.1,1.73,V,40,0,4,0,6,0,0,N,0,1,1
47.82,1.63,M,18,50,14,5,0,3,0,N,1,3,3
84.39,1.83,V,40,0,0,2,14,0,0,N,2,3,4
50.8,1.68,M,73,20,0,4,0,1,0,N,0,3,2
83.56,1.74,V,27,0,3,3,0,0,0,N,1,3,3
86.36,1.75,M,33,0,4,1,0,0,0,N,0,1,1
75.23,1.66,V,48,0,0,0,8,0,0,N,3,2,4
72.83,1.69,V,43,0,0,2,0,0,0,N,1,2,3
83.65,1.78,V,38,0,0,1,4,0,1,N,1,3,3
64.26,1.6,M,18,0,0,6,3,0,0,N,1,2,1
77.73,1.64,M,41,0,7,0,0,0,1,N,2,3,4
61.66,1.54,M,38,0,3,0,7,0,0,N,0,1,0
80.12,1.71,V,47,0,0,3,0,0,0,N,1,2,2
46.66,1.61,M,58,50,8,0,0,0,0,N,3,3,3
81.38,1.79,V,43,0,0,0,18,3,0,N,0,1,0
77.19,1.64,M,51,0,8,3,0,4,3,N,2,4,4
72.42,1.65,M,28,0,0,1,0,1,0,N,0,2,2
76.69,1.67,V,46,0,0,1,22,6,0,N,1,1,0
95.24,1.77,V,39,0,2,4,0,4,0,N,1,3,1
48.41,1.64,M,47,70,5,0,0,1,0,N,1,2,2
76.87,1.7,M,57,0,0,5,0,3,4,N,0,1,2
50.2,1.67,V,42,30,0,3,12,9,0,N,1,3,2
47.24,1.62,M,22,20,12,2,13,5,0,N,2,4,3
95.69,1.78,V,29,0,7,2,0,0,0,N,1,1,0
88.02,1.71,V,43,0,5,3,0,5,0,N,0,0,0
89.21,1.76,V,21,0,26,0,4,0,0,S,0,0,0
82.98,1.68,M,66,0,0,2,8,2,0,N,1,3,4
55.12,1.75,V,22,40,0,0,0,0,0,S,0,1,0
44.94,1.58,M,32,150,0,3,14,12,0,N,1,2,1
47.24,1.62,M,61,50,7,0,6,13,8,N,2,4,4
71.67,1.7,V,29,0,4,2,0,0,0,N,0,1,2
84.28,1.77,V,41,0,4,7,2,0,0,N,1,2,3
85.76,1.65,M,42,0,12,3,0,1,0,N,1,1,1
74.58,1.59,M,35,0,12,1,9,8,0,N,1,2,1
82.3,1.73,M,27,0,0,0,16,9,0,N,2,2,3
81.49,1.64,M,27,0,17,5,0,0,0,N,1,3,3
73.69,1.7,V,25,0,0,0,29,11,0,N,1,3,2
86.15,1.77,V,51,0,0,5,0,0,0,N,0,3,2
90.23,1.77,V,18,0,19,3,0,0,0,N,1,0,1
55.76,1.76,V,39,60,0,2,0,0,4,N,0,0,0
85.55,1.63,M,64,0,10,4,9,7,0,N,2,3,4
91.68,1.69,M,30,0,11,0,26,19,0,N,2,4,2
75.92,1.68,V,36,0,0,1,18,9,0,N,0,2,1
80.74,1.66,M,52,0,0,3,17,8,0,N,3,3,1
67.58,1.6,M,33,0,0,4,3,0,0,N,2,4,4
65.35,1.62,M,35,0,0,10,6,1,5,N,2,4,4
50.8,1.68,M,28,50,0,2,0,1,5,N,0,2,1
72.42,1.65,V,37,0,0,2,0,0,0,N,0,1,0
74.74,1.67,V,38,0,0,5,3,5,6,N,2,2,2
77.19,1.64,M,53,0,5,0,4,3,0,N,1,2,3
85.11,1.69,V,46,0,13,0,14,6,0,N,0,1,1
52.63,1.71,V,18,60,0,0,0,2,0,N,1,3,2
48.41,1.64,M,38,60,2,0,15,10,0,N,0,2,2
48.41,1.64,M,24,130,19,0,17,7,0,N,0,1,0
58.81,1.65,M,24,10,9,0,0,11,0,N,1,0,1
49,1.65,M,44,10,0,2,0,0,0,N,2,1,1
73.85,1.66,M,47,0,6,8,0,0,0,N,1,3,3
80.69,1.64,M,63,0,0,0,0,0,0,N,2,3,1
50.8,1.68,M,58,70,0,2,8,11,0,N,2,3,2
103.68,1.8,V,41,0,9,3,0,9,0,S,3,4,4
96.64,1.78,V,50,0,0,2,0,4,0,N,0,0,0
96.84,1.88,V,19,0,1,0,0,0,0,N,2,3,3
79.62,1.75,V,46,0,0,6,2,3,0,N,1,1,2
57.67,1.79,V,36,40,11,3,0,0,0,N,2,4,4
79.61,1.64,M,43,0,6,2,0,0,0,N,0,1,0
57.03,1.78,V,77,30,10,0,13,6,0,N,1,3,1
60.94,1.84,V,33,130,5,3,7,0,0,N,2,4,3
73.1,1.61,M,35,0,5,0,0,0,0,N,0,1,1
50.8,1.68,M,40,80,6,0,10,0,5,N,0,0,1
83.86,1.74,V,48,0,12,4,0,0,0,N,1,1,1
78.93,1.67,M,44,0,0,0,6,3,0,S,1,4,4
57.67,1.79,V,53,80,5,0,0,0,0,N,1,2,1
87.27,1.72,V,36,0,2,0,0,8,0,N,1,4,4
